time,dir0,snow_prec0,isocero0,mod0,racha_u0,racha_v0,mslp0,temp0,rh0,visibility0,lhevapac0,lhsublac0,lwflx0,prec0,swflx0,shflxac0,cape0,cin0,cfh0,cfl0,cfm0,cft0,HGT5000,HGT8500,T5000,T8500,dir1,snow_prec1,isocero1,mod1,racha_u1,racha_v1,mslp1,temp1,rh1,visibility1,lhevapac1,lhsublac1,lwflx1,prec1,swflx1,shflxac1,cape1,cin1,cfh1,cfl1,cfm1,cft1,HGT5001,HGT8501,T5001,T8501
12/1/21 0:00,6.7,0,1748.98,0.65,-0.07,-0.86,96843,275.42,0.91,9961.89,0,0,-54.5,0,0,0,-17622.54,6322,0.66,0,0,0.66,55835.28,15091.66,254.5,276.37,18.46,0,1755.91,1.19,-0.43,-1.45,97110,274.92,0.93,8246.89,0,0,-54.62,0,0,0,-18027.54,5802,0.65,0,0,0.65,55832.66,15091.41,254.48,276.39
12/1/21 1:00,309.52,0,1863.92,0.65,0.68,-0.52,96750.5,275.26,0.91,10342.69,11328,-1.88,-53.81,0,0,-4948.75,-17754.88,6640,0.39,0,0,0.39,55757.15,15014.74,254.3,276.4,314.52,0,1869.98,0.18,0.18,-0.16,97018.5,274.66,0.93,8383.69,10304,-1.88,-54.56,0,0,18347.25,-18224.88,5800,0.42,0,0,0.42,55754.09,15013.8,254.32,276.41
12/1/21 2:00,177.09,0,1971.57,0.18,-0.03,0.3,96660.34,275.17,0.9,10627.18,20977,11.62,-54.6,0,0,-11369,-17805.63,6642,0.09,0,0,0.09,55652.43,14941.93,254.29,276.39,114.21,0,1975.32,0.38,-0.45,0.18,96927.34,274.58,0.93,8628.18,19313,11.62,-55.53,0,0,35223,-18260.63,5800,0.13,0.01,0,0.13,55648.93,14939.99,254.3,276.38
12/1/21 3:00,134.49,0,2043.07,0.26,-0.29,0.27,96581.6,275.1,0.9,10826.18,29953,-19.38,-52.98,0,0,-17200,-17736.11,6638,0,0.1,0,0.1,55565.82,14882.39,254.33,276.63,92.93,0,2047.07,0.78,-0.98,0.01,96846.6,274.57,0.92,8906.18,28289,-19.38,-52.62,0,0,53328,-18138.61,5798,0.01,0.18,0,0.18,55561.82,14880.32,254.31,276.61
12/1/21 4:00,219.52,0,1977.76,0.12,0.15,0.2,96510.55,275.07,0.9,11224.13,37546,12.62,-54.13,0,0,-23950,-17706.24,6638,0.09,0.02,0,0.11,55482.01,14817.84,254.33,276.69,58.07,0,1993.57,0.35,-0.38,-0.26,96775.55,274.48,0.92,9295.13,35882,12.62,-56.01,0,0,70258,-18171.24,6096,0.14,0.03,0,0.17,55478.26,14815.4,254.3,276.69
12/1/21 5:00,321.47,0,1910.86,0.26,0.26,-0.3,96447.44,274.93,0.9,10965.02,45082,-6.56,-52.3,0,0,-31129,-17814.38,6637.02,0.77,0,0,0.77,55399.36,14757.39,254.44,276.7,314.26,0,1914.8,0.37,0.35,-0.32,96713.44,274.31,0.92,9115.02,41754,-6.56,-53.49,0,0,85351,-18309.38,5797.02,0.87,0,0,0.87,55395.86,14755.71,254.41,276.73
12/1/21 6:00,133.63,0,1884.23,0.62,-0.63,0.56,96394.21,275.41,0.88,12336.11,51053,4.44,-33.58,0,0,-38914,-17503.84,6988.1,1,0,0,1,55322.3,14712.85,253.99,276.61,102.9,0,1886.04,0.66,-0.82,0.15,96663.21,274.68,0.91,9758.11,46701,4.44,-33.11,0,0,99070,-18010.84,6096.1,1,0,0,1,55318.68,14709.85,253.93,276.6
12/1/21 7:00,214.54,0,1864.48,0.22,0.2,0.31,96369.68,275.39,0.88,12506.12,56320,-1,-48.63,0,0,-48367,-17666.59,6987.53,0.97,0,0,0.97,55239.55,14673.31,253.36,276.42,82.83,0,1864.36,0.57,-0.73,-0.12,96635.68,274.86,0.9,10602.12,51456,-1,-50.31,0,0,116753,-18062.09,6419.53,0.99,0,0,0.99,55236.42,14674.25,253.35,276.31
12/1/21 8:00,212.9,0,1810.93,0.44,0.32,0.55,96339.68,275.83,0.87,12766.26,60810,-4,-21.1,0,25.39,-58165,-17423.59,6988,1,0,0.58,1,55176.4,14663.77,253.3,276.67,127.7,0,1832.12,0.68,-0.69,0.5,96603.68,275.14,0.91,10306.26,55434,-4,-20.31,0,22.77,131275,-17905.09,6098,1,0,0.56,1,55173.03,14663.08,253.34,276.75
12/1/21 9:00,316.37,0,1920.92,1.16,1.07,-1.05,96343.08,276.7,0.88,28823.34,59484,-38,2.93,0.01,14.93,-74159,-1.43,16514,1,1,1,1,55120.95,14663.48,253.05,275.91,343.54,0,1918.79,1.23,0.51,-1.51,96611.08,276.27,0.89,24510.34,54364,-38,3.82,0.01,11.54,141649,-17051.43,6766,1,1,1,1,55111.32,14660.41,252.99,275.86
